UID,planID,title,state_code,city,tags,desc
19,55,"Camping in Yosemite",CA,Yosemite,Dream,"Camping in Yosemite National Park."
19,56,"Wildlife Photography",CA,Yosemite,Post-Grad,"Photographing wildlife in Yosemite."
19,57,"Survival Skills Workshop",CA,Yosemite,Long-Term,"Attending a survival skills workshop."
20,58,"Balloon Festival in Albuquerque",NM,Albuquerque,Dream,"Attending the annual balloon festival in Albuquerque."
21,61,UCLA,CA,"Los Angeles","Long-term, Post-Grad, Dream","I am going to the UCLA dental school. I would matriculate in the fall of 2025."
21,62,"Dental School",OR,Portland,Long-term,"I may go to dental school here. If so, I will be living near the hospital so that my commute is light."
2,64,"Finding John",OR,Portland,Maybe,"I am planning on visiting Portland to eat at all the restaurants! AND TO FIND MY HUSBAND!"
21,66,"My next leap!",DC,Washington,Long-term,"I just became President!!"
15,69,"Ski Trip",CO,Aspen,Dream,"I want to go on a ski trip!"
21,70,"Ski Trip",CO,Aspen,,"I am planning a ski trip with my friends!"
14,71,"Art Tour",CA,"Los Angeles",,"Going to visit some art museums around LA."
11,72,Foodie,OR,Portland,,"I want to visit all of the food carts!"
34,73,MBA!,CA,Stanford,"Post-Grad, Dream","I am planning on pursuing my Master's of Business Administration"
34,74,Bachelor!,WI,Milwaukee,,"For a friend's wedding!"
34,75,"Ramlakhan 2024",DC,Washington,,"I just became the President"
35,77,"Medical School",MI,"East Lansing",Long-term,"To attend medical school and eventually study forensic pathology."
